Price,Close,High,Low,Open,Volume,RSI,Position,Signal,Returns,Strategy_Returns
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,
Date,,,,,,,,,,
2017-01-01,908.5850219726562,1191.0999755859375,823.5560302734375,963.6580200195312,2041699008,,0,0,,
2017-01-08,818.4119873046875,942.7239990234375,755.7559814453125,908.1749877929688,1211686288,,0,0,-0.0992455658934277,-0.0
2017-01-15,921.7890014648438,927.3670043945312,812.8709716796875,818.1420288085938,838052200,,0,0,0.126314149552736,0.0
2017-01-22,921.5900268554688,937.5250244140625,891.68701171875,922.2050170898438,748873200,,0,0,-0.00021585700096093952,-0.0
2017-01-29,1042.9000244140625,1045.9000244140625,919.1480102539062,922.0670166015625,955933988,,0,0,0.13163119611060914,0.0
2017-02-05,1004.4500122070312,1088.989990234375,946.6909790039062,1043.52001953125,1273765016,,0,0,-0.03686835871792582,-0.0
2017-02-12,1054.4200439453125,1061.0999755859375,976.0020141601562,1003.52001953125,753666904,,0,0,0.049748649640099396,0.0
2017-02-19,1143.8399658203125,1200.3900146484375,1041.68994140625,1054.760009765625,1170044288,,0,0,0.08480483881965895,0.0
2017-02-26,1255.1500244140625,1280.31005859375,1130.199951171875,1144.27001953125,1529353008,,0,0,0.09731261533069735,0.0
2017-03-05,1175.8299560546875,1276.0,1077.25,1254.2900390625,1971041976,,0,0,-0.0631956872218552,-0.0
2017-03-12,973.8179931640625,1257.97998046875,957.655029296875,1176.6199951171875,3117032976,,0,0,-0.17180372200113392,-0.0
2017-03-19,972.7789916992188,1122.4300537109375,903.7130126953125,976.72998046875,2586791008,,0,0,-0.001066935990233553,-0.0
2017-03-26,1080.5,1091.719970703125,954.1859741210938,974.0150146484375,2390882976,,0,0,0.11073533579566486,0.0
2017-04-02,1175.949951171875,1188.3699951171875,1075.449951171875,1080.6099853515625,2983281088,62.26724820508644,0,0,0.08833868687818147,0.0
2017-04-09,1172.52001953125,1208.0699462890625,1156.43994140625,1176.5699462890625,1773465040,62.07188036499123,0,0,-0.0029167326697934204,-0.0
2017-04-16,1231.7099609375,1240.7900390625,1172.6099853515625,1172.6099853515625,1831617008,69.45484843174042,0,0,0.05048096443582506,0.0
